beer_type,beer_slug,img_url
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/9c6b4c6c1958fd93f3c0bfcee3e735da_c_1488445801_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/1699b45e13625ca78d7e549faad33982_c_1488444940_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/715caa8636dcd1a52359689d02a03efa_c_1488444872_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/837975315f9d3cfbf1ff3472998f7d24_c_1488443500_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/988da204f97c043fa1884cfddc5b88d4_c_1488443335_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/269bfe21b25565df8fb2d44985f9de2d_c_1488442510_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/0d1adeb35c8a03ce65d6e5d6b7d981bb_c_1488439834_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/0e0b5b1dcb541270d658a3edf4c4752e_c_1488439685_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/1963760e78e9c382ee79209140694cfa_c_1488437159_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/b2443eaaa51e88d78d7ca66a2905277f_c_1488436713_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/98912a2d68e52e9dac0dd2965e3c5b5f_c_1488436550_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/18a0a75fc10a6f98b263c50e474dfdb6_c_1488436497_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/a9acce6f36b7bec6b7c9ff3256bf916f_c_1488436114_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/d88c7a38aaaaaa2681d40cec8680ecaf_c_1488435843_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/08f89b0616ecf6adaf45a305a087c1bc_c_1488434390_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/bf422318ed9b359b7e4e843b37afe7da_c_1488434020_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/8fca3961b07fc1e55193cd587f9287f9_c_1488434017_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/87a03b16729b878314210ede3d07f212_c_1488433300_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/4b1bbfa7448f43b79a8063f4969ffd2e_c_1488431073_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/b6d4b335fabc3be16a132f7f437496fb_c_1488420234_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/69176ad2a042aa6a062001a2a2836817_c_1488416967_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/54e544f4f372d3bcdad7adc3a83e7e5c_c_1488414777_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_17/2d07252411e070cdfea0d0b96212e661_c_1488406042_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/e2dc87b1da21291d63671e92329f440e_c_1488401805_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/4961e85b7e0c442fa88ce85ee5384279_c_1488399685_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/e0ba249b39338b636f6865b9f1acd5e1_c_1488372101_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/1f82a4004bc83be99d99ed1552cd448f_c_1488385385_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/7d926df9daae20eea6442026f24132b9_c_1488383368_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/2c2d35c69d52bba444b1b151ddf442e1_c_1488381229_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/b94b567aeae9355582faf55a513e4603_c_1488380449_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/a00ea312a48c1666d9096cf7145b7a16_c_1488380387_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/4c9c42dc6c76967f4bd80832d6840198_c_1488379546_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/9e2a2eaae168854d92e5d45a1f60d1e7_c_1488375383_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/61b2974c325e7701daa56db41d0bbc66_c_1488373809_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/75123020ef6d72227f80d82fae01674c_c_1488371778_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/9fc44b47c928960a62bfbf136b79e0d0_c_1488370074_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/ca74fac72a416b3f52b72f26b1d34302_c_1488369754_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/a4a66382b199aa623fce9bd58c7534b8_c_1488367311_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/5a06eaf1a31ae4d08af2579f5cd9f3a3_c_1488367175_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/3e56759caea9f952c384e2b69fc21410_c_1488365568_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/9fabb479278cc911171de3344d5721a5_c_1488364094_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/1ab954ac694db372886c8b69f7b4c507_c_1488363265_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/1d60bdd85a99d92d86ceb8b378653053_c_1488361529_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/612fa376d3223ef06e21c2a083b81042_c_1488360478_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/343a8616fc7a081ff24d34c9229e2446_c_1488350487_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/5a5439f823e6e3ca6bef5fd4b2a87827_c_1488350065_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/e97a8d2cb3e13e9f32d6eb69784ef67b_c_1488349002_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/d3c0e28138b75e988010a50607c730f4_c_1488348985_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/4e6411a980369b4d25202a4551261ae6_c_1488347692_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/9e8a1d54706991cc25910752b24838e0_c_1488341541_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/0b83246efe8521c21434bb26e14ccd9f_c_1488335821_raw.jpg
lager,heineken-heineken,https://assets.untappd.com/photos/2025_06_16/765e582862ff7c948547942a762dae62_c_1488334430_raw.jpg
